name,latitude,longitude,Mammals (total endemic)
Nigeria,9.081999,8.675277,5
Niue,-19.054445,-169.867233,0
Norfolk Island,-29.040835,167.954712,0
North Korea,40.339852,127.510093,0
Northern Mariana Islands,17.33083,145.38469,0
Norway,60.472024,8.468946,0
Oman,21.512583,55.923255,0
Pakistan,30.375321,69.345116,3
Palau,7.51498,134.58252,2
Palestine,31.952162,35.233154,0
Panama,8.537981,-80.782127,12
Papua New Guinea,-6.314993,143.95555,83
Paraguay,-23.442503,-58.443832,1
Peru,-9.189967,-75.015152,57
Philippines,12.879721,121.774017,133
Pitcairn,-24.703615,-127.439308,0
Poland,51.919438,19.145136,1
Portugal,39.399872,-8.224454,1
Puerto Rico,18.220833,-66.590149,1
Qatar,25.354826,51.183884,0
Reunion,-21.115141,55.536384,1
Romania,45.943161,24.96676,2
Russia,61.52401,105.318756,21
Rwanda,-1.940278,29.873888,1
Saint Helena,-24.143474,-10.030696,0
Saint Kitts and Nevis,17.357822,-62.782998,0
Saint Lucia,13.909444,-60.978893,1
Saint Pierre and Miquelon,46.941936,-56.27111,0
Saint Vincent and the Grenadines,12.984305,-61.287228,2
Samoa,-13.759029,-172.104629,2
San Marino,43.94236,12.457777,0
Sao Tome and Principe,0.18636,6.613081,6
Saudi Arabia,23.885942,45.079162,0
Senegal,14.497401,-14.452362,0
Serbia,44.016521,21.005859,0
Seychelles,-4.679574,55.491977,3
Sierra Leone,8.460555,-11.779889,0
Singapore,1.352083,103.819836,1
Slovakia,48.669026,19.699024,0
Slovenia,46.151241,14.995463,0
Solomon Islands,-9.64571,160.156194,19
Somalia,5.152149,46.199616,9
South Africa,-30.559482,22.937506,37
South Georgia and the South Sandwich Islands,-54.429579,-36.587909,0
South Korea,35.907757,127.766922,0
South Sudan,6.876991,31.306978,1
Spain,40.463667,-3.74922,3
Sri Lanka,7.873054,80.771797,18
Sudan,12.862807,30.217636,8
Suriname,3.919305,-56.027783,0
Svalbard and Jan Mayen,77.553604,23.670272,0
Sweden,60.128161,18.643501,0
Switzerland,46.818188,8.227512,0
Syria,34.802075,38.996815,1
Taiwan,23.69781,120.960515,19
Tajikistan,38.861034,71.276093,0
Tanzania,-6.369028,34.888822,33
Thailand,15.870032,100.992541,5
Timor,-8.874217,125.727539,1
Togo,8.619543,0.824782,0
Tokelau,-8.967363,-171.855881,0
Tonga,-21.178986,-175.198242,0
Trinidad and Tobago,10.691803,-61.222503,0
Tunisia,33.886917,9.537499,1
Turkey,38.963745,35.243322,8
Turkmenistan,38.969719,59.556278,0
Turks and Caicos Islands,21.694025,-71.797928,0
Tuvalu,-7.109535,177.64933,0
Uganda,1.373333,32.290275,0
Ukraine,48.379433,31.16558,3
United Arab Emirates,23.424076,53.847818,0
United Kingdom,55.378051,-3.435973,0
United States,37.09024,-95.712891,104
United States Virgin Islands,18.335765,-64.896335,0
Uruguay,-32.522779,-55.765835,3
Uzbekistan,41.377491,64.585262,0
Vanuatu,-15.376706,166.959158,2
Vatican,41.902916,12.453389,0
Venezuela,6.42375,-66.58973,28
Vietnam,14.058324,108.277199,20
Wallis and Futuna,-13.768752,-177.156097,0
Western Sahara,24.215527,-12.885834,0
Yemen,15.552727,48.516388,4
Zambia,-13.133897,27.849332,5
Zimbabwe,-19.015438,29.154857,0
